index,name,address,reason
1171,Powiatowe Centrum Pomocy Rodzinie w Sierpcu,"ul. Świętokrzyska 2a 
09-200 Sierpc",Service not available
1175,Urząd Miasta i Gminy Dobre,"ul. T. Kościuszki 1
05-307 Dobre",Geocoding failed
1176,Powiatowe Centrum Pomocy Rodzinie w Pruszkowie,"ul. Bolesława Prusa 88
 05-800 Pruszków",Service not available
1181,Gminny Ośrodek Pomocy Społecznej w Huszlewie,08-206 Huszlew 77,Geocoding failed
1191,Gminny Ośrodek Pomocy Społecznej w Górznie,08-404 Górzno 131,Geocoding failed
1194,Gminny Ośrodek Pomocy Społecznej w Bielanach,"ul. Słoneczna 2, 08-311 Bielany",Service timed out
1195,Gminny Ośrodek Pomocy Społecznej w Korczewie,"ul. ks. St. Brzóski 20a
 08-108 Korczew",Geocoding failed
1197,Ośrodek Interwencji Kryzysowej w Ostrołęce,"ul. gen. Tadeusza Kościuszki 24/26
 07-410 Ostrołęka",Service not available
1200,Gminny Ośrodek Pomocy Społecznej w Sokołowie Podlaskim,"ul. Lipowa 52
08-300 Sokołów Podlaskim",Service not available
1209,Urząd Gminy Płoniawy-Bramura,"Płoniawy-Bramura 83A
06-210 Płoniawy-Bramura",Service not available
1222,Urząd Gminy Wierzbica,"Wierzbica-Osiedle ul. Włodawska 1
22-150 Wierzbica",Geocoding failed
1224,Gminny Ośrodek Pomocy Społecznej w Przyłęku,"Przyłęk BN 
26-704 Przyłęk",Service not available
1227,Ośrodek Pomocy Społecznej w Legionowie,"ul. Adama Mickiewicza 22A,
05-120 Legionowo",Service not available
1232,Urząd Gminy Wierzbno,"Wierzbno 90
07-111 Wierzbno",Service not available
1235,Urząd Gminy Puszcza Mariańska,"ul. S. Papczyńskiego 1
96-330 Puszcza Mariańska",Geocoding failed
1238,Urząd Gminy Sarnaki,"ul. B. Joselewicza 3 
08-220 Sarnaki",Geocoding failed
1243,Powiatowe Centrum Pomocy Rodzinie w Legionowie,"ul. gen. Wł. Sikorskiego 11
05-119 Legionowo",Geocoding failed
1247,Powiatowe Centrum Pomocy Rodzinie w Grodzisku Mazowieckim,"ul. Żydowska 19
05-825 Grodzisk Mazowiecki",Service not available
1251,Urząd Gminy Krasnosielc,"ul. Rynek 40
06-212 Krasnosielc",Service not available
1255,Urząd Miasta Płońsk,"ul. Św. M. Kolbe 9
09-100 Płońsk",Service timed out
1258,Gminny Punkt Promocji Zdrowia i Profilaktyki w Wyszkowie prowadzony przez Urząd Miejski,"ul. Sowińskiego 80 (parter), Budynek Miejsko-Gminnej Biblioteki publicznaj
07-200 Wyszków",Service not available
1264,Urząd Gminy Ceranów,08-322 Ceranów 140,Geocoding failed
1267,Urząd Gminy Stromiec,"ul. Piaski 4
 26-804 Stromiec",Service timed out
1268,Urząd Gminy Szydłowo,"ul. Mazowiecka 61
06-516 Szydłowo",Service not available
1273,Gminny Ośrodek Pomocy Społecznej w Nowej Suchej,96-513 Nowa Sucha 59A,Service timed out
1298, Gminny Ośrodek Pomocy Społecznej w Starej Błotnicy,26-806 Stara Błotnica 46,Service timed out
1306,Centrum Usług Społecznych w Mławie,"ul. Joachima Lelewela 7
06-500 Mława",Service not available
1307,Gminny Ośrodek Pomocy Społecznej w Zarębach Kościelnych,"ul. Kowalska 14
07-323 Zaręby Kościelne",Service not available
1309,Miejski Ośrodek Pomocy Społecznej w Łaskarzewie,"ul. Rynek Duży 32 (budynek Urzędu Miasta w Łaskarzewie pokój nr 14, 15 i 16) 08-450 Łaskarzew",Geocoding failed
1310,Gminny Ośrodek Pomocy Społecznej w Celestynowie,"ul. Regucka 3
05-430 Celestynów",Service not available
1311,Powiatowe Centrum Pomocy Rodzinie w Sokołowie Podlaskim,"ul. Armii Krajowej 4
08-300 Sokołów Podlaski",Service not available
1312,Powiatowe Centrum Pomocy Rodziniew Żurominie,"Lidzbarska 27 
09-300 Żuromin",Service timed out
1315,Urząd Gminy Krasne,"ul. Adama Mickiewicza 23, 06-408",Service not available
1318,Gminny Ośrodek Pomocy Społecznej w Dzierzgowie,"T. Kościuszki 1
06-520 Dzierzgowo",Geocoding failed
1331,Starostwo Powiatowe w Grodzisku Mazowieckim,"ul. Daleka 11A
05-825 Grodzisk Mazowiecki",Service not available
1332,Gminny Ośrodek Pomocy Społecznej w Domanicach,08-113  Domanice 52,Geocoding failed
1341,Centrum Pomocy Rodzinie w Kluczborku/Powiatowy Ośrodek Interwncji Kryzysowej,"ul. M. Skłodowskiej - Curie 23, 46-203 Kluczbork",Service not available
1356,Gminny Ośrodek Pomocy Społecznej w Lasowicach Wielkich ,46-282 Lasowice Wielkie 99A,Service timed out
1357,Gminny Ośrodek Pomocy Społecznej w Łubnianach,"ul. Opolska 53a, 46-024 Łubniany",Service timed out
1358,Gminny Ośrodek Pomocy Społecznej w Murowie,"u. Wolności 20/1 (obok szkoły), 46 - 030 Murów",Service timed out
1366,Gminny Ośrodek Pomocy Społecznej w Pakosławicach,"Reńska Wieś 1, 48-314 Pakosławice",Service not available
1368,Ośrodek Pomocy Społecznej w Wołczynie,"ul. K. Miarki 12, 46-250 Wołczyn",Service not available
1370,Urząd Miejski w Dobrodzieniu (Punkt Konsultacyjny),"Plac Wolności 1, 46-380 Dobrodzień",Service not available
